condition,replicate,attempted_direct_binding,locpol_direct,cp_direct,blkest_direct,rlbin_direct,sdiag_direct,linbin_direct
guides,1,False,False,False,False,False,False,False
guides,2,False,False,False,False,False,False,False
guides,3,False,False,False,False,False,False,False
guides,4,False,False,False,False,False,False,False
guides,5,True,True,True,True,True,True,True
guides,6,False,False,False,False,False,False,False
guides,7,False,False,False,False,False,False,False
guides,8,True,True,True,True,True,True,True
guides,9,True,True,True,True,True,True,True
guides,10,False,False,False,False,False,False,False
no_guides,1,True,True,True,True,True,True,True
no_guides,2,False,False,False,False,False,False,False
no_guides,3,False,False,False,False,False,False,False
no_guides,4,True,True,True,True,True,True,True
no_guides,5,False,False,False,False,False,False,False
no_guides,6,False,False,False,False,False,False,False
no_guides,7,True,True,True,True,True,True,True
no_guides,8,False,False,False,False,False,False,False
no_guides,9,False,False,False,False,False,False,False
no_guides,10,False,False,False,False,False,False,False
placebo,1,False,False,False,False,False,False,False
placebo,2,False,False,False,False,False,False,False
placebo,3,False,False,False,False,False,False,False
placebo,4,False,False,False,False,False,False,False
placebo,5,False,False,False,False,False,False,False
placebo,6,False,False,False,False,False,False,False
placebo,7,True,True,True,True,True,True,True
placebo,8,False,False,False,False,False,False,False
placebo,9,False,False,False,False,False,False,False
placebo,10,False,False,False,False,False,False,False
