condition,replicate,total_tests,total_failed,pass_rate
guides,1,518,19,0.9633
guides,2,518,19,0.9633
guides,3,518,17,0.9672
guides,4,518,18,0.9653
guides,5,518,125,0.7587
guides,6,518,31,0.9402
guides,7,518,62,0.8803
guides,8,518,125,0.7587
guides,9,518,126,0.7568
guides,10,518,26,0.9498
no_guides,1,518,518,0.0
no_guides,2,518,18,0.9653
no_guides,3,518,22,0.9575
no_guides,4,518,126,0.7568
no_guides,5,518,174,0.6641
no_guides,6,518,62,0.8803
no_guides,7,518,230,0.556
no_guides,8,518,109,0.7896
no_guides,9,518,32,0.9382
no_guides,10,518,21,0.9595
placebo,1,518,31,0.9402
placebo,2,518,69,0.8668
placebo,3,518,31,0.9402
placebo,4,518,69,0.8668
placebo,5,518,31,0.9402
placebo,6,518,31,0.9402
placebo,7,518,135,0.7394
placebo,8,518,19,0.9633
placebo,9,518,28,0.9459
placebo,10,518,19,0.9633
