language_dependency,function_name,line_number,call_body
c,bkde,14,"c(""normal"", ""box"", ""epanech"", ""biweight"", ""triweight"")"
c,bkde,42,"c(min(x)-tau*h, max(x)+tau*h)"
c,bkde,73,"c(kappa, rep(0, P-2L*L-1L), rev(kappa[-1L]))"
c,bkde,75,"c(gcounts, rep(0L, P-M))"
ceiling,bkde,72,"ceiling(log(M+L+1L)/log(2))"
dbeta,bkde,62,"dbeta(0.5*(lvec*delta+1), 1, 1)"
dbeta,bkde,64,"dbeta(0.5*(lvec*delta+1), 2, 2)"
dbeta,bkde,66,"dbeta(0.5*(lvec*delta+1), 3, 3)"
dbeta,bkde,68,"dbeta(0.5*(lvec*delta+1), 4, 4)"
dnorm,bkde,60,"dnorm(lvec*delta)"
fft,bkde,76,"fft(kappa/tot)"
fft,bkde,77,"fft(gcounts)"
fft,bkde,78,"fft(kappa*gcounts, TRUE)"
floor,bkde,54,"floor(tau/delta)"
is.logical,bkde,30,"is.logical(canonical)"
length,bkde,18,"length(x)"
length,bkde,30,"length(canonical)"
list,bkde,78,"list(x = gpoints, y = (Re(fft(kappa*gcounts, TRUE))/P)[1L:M])"
log,bkde,72,"log(M+L+1L)"
log,bkde,72,"log(2)"
match.arg,bkde,13,"match.arg(kernel, c(""normal"", ""box"", ""epanech"", ""biweight"", ""triweight""))"
max,bkde,42,"max(x)"
min,bkde,42,"min(x)"
min,bkde,54,"min(floor(tau/delta), M)"
missing,bkde,10,"missing(bandwidth)"
missing,bkde,35,"missing(bandwidth)"
missing,bkde,42,"missing(range.x)"
Re,bkde,78,"Re(fft(kappa*gcounts, TRUE))"
rep,bkde,73,"rep(0, P-2L*L-1L)"
rep,bkde,75,"rep(0L, P-M)"
rev,bkde,73,"rev(kappa[-1L])"
seq,bkde,48,"seq(a, b, length.out = M)"
sqrt,bkde,35,"sqrt(var(x))"
stop,bkde,11,"stop(""'bandwidth' must be strictly positive"")"
stop,bkde,31,"stop(""'canonical' must be a length-1 logical vector"")"
sum,bkde,74,"sum(kappa)"
switch,bkde,23,"switch(kernel, ""normal"" = (1/(4*pi))^(1/10), ""box"" = (9/2)^(1/5), ""epanech"" = 15^(1/5), ""biweight"" = 35^(1/5), ""triweight"" = (9450/143)^(1/5))"
var,bkde,35,"var(x)"
warning,bkde,56,"warning(""Binning grid too coarse for current (small) bandwidth: consider increasing 'gridsize'"")"
as.numeric,bkde2D,162,"as.numeric(rp>0)"
c,bkde2D,83,"c(51L, 51L)"
c,bkde2D,100,"c(h, h)"
c,bkde2D,107,"c(min(x[, id])-1.5*h[id], max(x[, id])+1.5*h[id])"
c,bkde2D,110,"c(range.x[[1L]][1L], range.x[[2L]][1L])"
c,bkde2D,111,"c(range.x[[1L]][2L], range.x[[2L]][2L])"
c,bkde2D,129,"c(z, rev(z[-1L]))"
ceiling,bkde2D,139,"ceiling(log(M+L)/log(2))"
dnorm,bkde2D,128,"dnorm(lvecid*facid)"
fft,bkde2D,154,"fft(rp)"
fft,bkde2D,155,"fft(sp)"
fft,bkde2D,156,"fft(rp*sp, inverse = TRUE)"
floor,bkde2D,125,"floor(tau*h[id]*(M[id]-1)/(b[id]-a[id]))"
length,bkde2D,100,"length(h)"
list,bkde2D,105,"list(0, 0)"
list,bkde2D,123,"list(0, 0)"
list,bkde2D,164,"list(x1 = gpoints1, x2 = gpoints2, fhat = rp)"
log,bkde2D,139,"log(M+L)"
log,bkde2D,139,"log(2)"
matrix,bkde2D,128,"matrix(dnorm(lvecid*facid)/h[id])"
matrix,bkde2D,144,"matrix(0, P1, P2)"
matrix,bkde2D,150,"matrix(0, P1, P2)"
matrix,bkde2D,162,"matrix(as.numeric(rp>0), nrow(rp), ncol(rp))"
max,bkde2D,107,"max(x[, id])"
min,bkde2D,87,"min(bandwidth)"
min,bkde2D,107,"min(x[, id])"
min,bkde2D,125,"min(floor(tau*h[id]*(M[id]-1)/(b[id]-a[id])), M[id] - 1L)"
min,bkde2D,134,"min(L)"
missing,bkde2D,87,"missing(bandwidth)"
missing,bkde2D,104,"missing(range.x)"
ncol,bkde2D,162,"ncol(rp)"
nrow,bkde2D,92,"nrow(x)"
nrow,bkde2D,162,"nrow(rp)"
numeric,bkde2D,122,"numeric(2L)"
Re,bkde2D,156,"Re(fft(rp*sp, inverse = TRUE)/(P1*P2))"
rev,bkde2D,129,"rev(z[-1L])"
seq,bkde2D,115,"seq(a[1L], b[1L], length.out = M[1L])"
seq,bkde2D,116,"seq(a[2L], b[2L], length.out = M[2L])"
stop,bkde2D,88,"stop(""'bandwidth' must be strictly positive"")"
sum,bkde2D,129,"sum(c(z, rev(z[-1L])) * facid * h[id])"
t,bkde2D,132,"t(kapid[[2L]])"
warning,bkde2D,135,"warning(""Binning grid too coarse for current (small) bandwidth: consider increasing 'gridsize'"")"
c,bkfe,176,"c(min(x), max(x))"
c,bkfe,227,"c(kappam, rep(0,  P-2L*L-1L), rev(kappam[-1L]))"
c,bkfe,228,"c(gcounts, rep(0, P-M))"
ceiling,bkfe,226,"ceiling(log(M+L+1L)/log(2))"
dnorm,bkfe,212,"dnorm(arg)"
fft,bkfe,229,"fft(kappam)"
fft,bkfe,230,"fft(Gcounts)"
fft,bkfe,232,"fft(kappam*Gcounts, TRUE)"
floor,bkfe,204,"floor(tau*h/delta)"
length,bkfe,192,"length(gcounts)"
log,bkfe,226,"log(M+L+1L)"
log,bkfe,226,"log(2)"
max,bkfe,176,"max(x)"
min,bkfe,176,"min(x)"
min,bkfe,204,"min(floor(tau*h/delta), M)"
missing,bkfe,173,"missing(bandwidth)"
missing,bkfe,176,"missing(range.x)"
Re,bkfe,232,"Re(fft(kappam*Gcounts, TRUE))"
rep,bkfe,227,"rep(0,  P-2L*L-1L)"
rep,bkfe,228,"rep(0, P-M)"
rev,bkfe,227,"rev(kappam[-1L])"
seq,bkfe,188,"seq(a, b, length.out = gridsize)"
seq,bkfe,193,"seq(a, b, length.out = M)"
stop,bkfe,174,"stop(""'bandwidth' must be strictly positive"")"
sum,bkfe,198,"sum(gcounts)"
sum,bkfe,232,"sum(gcounts * (Re(fft(kappam*Gcounts, TRUE))/P)[1L:M] )"
warning,bkfe,207,"warning(""Binning grid too coarse for current (small) bandwidth: consider increasing 'gridsize'"")"
as.double,blkest,265,"as.double(x)"
as.double,blkest,265,"as.double(y)"
as.double,blkest,267,"as.double(xj)"
as.double,blkest,267,"as.double(yj)"
as.double,blkest,267,"as.double(coef)"
as.double,blkest,267,"as.double(Xmat)"
as.double,blkest,267,"as.double(wk)"
as.double,blkest,268,"as.double(qraux)"
as.double,blkest,268,"as.double(sigsqe)"
as.double,blkest,268,"as.double(th22e)"
as.double,blkest,269,"as.double(th24e)"
as.integer,blkest,265,"as.integer(n)"
as.integer,blkest,266,"as.integer(q)"
as.integer,blkest,266,"as.integer(qq)"
as.integer,blkest,266,"as.integer(Nval)"
cbind,blkest,247,"cbind(x, y)"
length,blkest,242,"length(x)"
list,blkest,271,"list(sigsqe = out[[13]], th22e = out[[14]], th24e = out[[15]])"
matrix,blkest,258,"matrix(0, n, qq)"
rep,blkest,255,"rep(0, n)"
rep,blkest,256,"rep(0, n)"
rep,blkest,257,"rep(0, qq)"
rep,blkest,259,"rep(0, n)"
rep,blkest,260,"rep(0, qq)"
sort.list,blkest,248,"sort.list(datmat[, 1L])"
as.double,cpblock,300,"as.double(X)"
as.double,cpblock,300,"as.double(Y)"
as.double,cpblock,301,"as.double(RSS)"
as.double,cpblock,301,"as.double(Xj)"
as.double,cpblock,302,"as.double(Yj)"
as.double,cpblock,302,"as.double(coef)"
as.double,cpblock,302,"as.double(Xmat)"
as.double,cpblock,303,"as.double(qraux)"
as.double,cpblock,303,"as.double(Cpvals)"
as.integer,cpblock,300,"as.integer(n)"
as.integer,cpblock,301,"as.integer(qq)"
as.integer,cpblock,301,"as.integer(Nmax)"
cbind,cpblock,282,"cbind(X, Y)"
length,cpblock,278,"length(X)"
matrix,cpblock,294,"matrix(0, n, qq)"
order,cpblock,307,"order(Cpvec)"
rep,cpblock,290,"rep(0, Nmax)"
rep,cpblock,291,"rep(0, n)"
rep,cpblock,292,"rep(0, n)"
rep,cpblock,293,"rep(0, qq)"
rep,cpblock,295,"rep(0, Nmax)"
rep,cpblock,296,"rep(0, n)"
rep,cpblock,297,"rep(0, qq)"
sort.list,cpblock,283,"sort.list(datmat[, 1L])"
c,dpih,353,"c(sa, sb)"
c,dpih,357,"c(sa, sb)"
c,dpih,359,"c(sa, sb)"
c,dpih,363,"c(sa, sb)"
c,dpih,365,"c(sa, sb)"
c,dpih,367,"c(sa, sb)"
c,dpih,371,"c(sa, sb)"
c,dpih,373,"c(sa, sb)"
c,dpih,375,"c(sa, sb)"
c,dpih,377,"c(sa, sb)"
c,dpih,381,"c(sa, sb)"
c,dpih,383,"c(sa, sb)"
c,dpih,385,"c(sa, sb)"
c,dpih,387,"c(sa, sb)"
c,dpih,389,"c(sa, sb)"
length,dpih,317,"length(x)"
match.arg,dpih,329,"match.arg(scalest, c(""minim"", ""stdev"", ""iqr""))"
mean,dpih,339,"mean(x)"
mean,dpih,340,"mean(x)"
min,dpih,333,"min((quantile(x, 3/4)-quantile(x, 1/4))/1.349, sqrt(var(x)))"
quantile,dpih,332,"quantile(x, 3/4)"
quantile,dpih,332,"quantile(x, 1/4)"
quantile,dpih,333,"quantile(x, 3/4)"
quantile,dpih,333,"quantile(x, 1/4)"
seq,dpih,324,"seq(a, b, length.out = M)"
seq,dpih,344,"seq(sa, sb, length.out = M)"
sqrt,dpih,331,"sqrt(var(x))"
sqrt,dpih,333,"sqrt(var(x))"
sqrt,dpih,350,"sqrt(pi)"
sqrt,dpih,352,"sqrt(2)"
sqrt,dpih,356,"sqrt(2)"
sqrt,dpih,358,"sqrt(2/pi)"
sqrt,dpih,362,"sqrt(2)"
sqrt,dpih,364,"sqrt(2/pi)"
sqrt,dpih,366,"sqrt(2/pi)"
sqrt,dpih,370,"sqrt(2)"
sqrt,dpih,372,"sqrt(2/pi)"
sqrt,dpih,374,"sqrt(2/pi)"
sqrt,dpih,376,"sqrt(2/pi)"
sqrt,dpih,380,"sqrt(2)"
sqrt,dpih,382,"sqrt(2/pi)"
sqrt,dpih,384,"sqrt(2/pi)"
sqrt,dpih,386,"sqrt(2/pi)"
sqrt,dpih,388,"sqrt(2/pi)"
stop,dpih,313,"stop(""Level should be between 0 and 5"")"
stop,dpih,335,"stop(""scale estimate is zero for input data"")"
switch,dpih,330,"switch(scalest, ""stdev"" = sqrt(var(x)), ""iqr""= (quantile(x, 3/4)-quantile(x, 1/4))/1.349, ""minim"" = min((quantile(x, 3/4)-quantile(x, 1/4))/1.349, sqrt(var(x))))"
var,dpih,331,"var(x)"
var,dpih,333,"var(x)"
c,dpik,403,"c(""normal"", ""box"", ""epanech"", ""biweight"", ""triweight"")"
c,dpik,428,"min((quantile(x, 3/4)-quantile(x, 1/4))/1.349, sqrt(var(x)))"
c,dpik,446,"c(sa, sb)"
c,dpik,449,"c(sa, sb)"
c,dpik,451,"c(sa, sb)"
c,dpik,454,"c(sa, sb)"
c,dpik,456,"c(sa, sb)"
c,dpik,458,"c(sa, sb)"
c,dpik,461,"c(sa, sb)"
c,dpik,463,"c(sa, sb)"
c,dpik,465,"c(sa, sb)"
c,dpik,467,"c(sa, sb)"
c,dpik,470,"c(sa, sb)"
c,dpik,472,"c(sa, sb)"
c,dpik,474,"c(sa, sb)"
c,dpik,476,"c(sa, sb)"
c,dpik,478,"c(sa, sb)"
length,dpik,414,"length(x)"
match.arg,dpik,402,"match.arg(kernel, c(""normal"", ""box"", ""epanech"", ""biweight"", ""triweight""))"
