language_dependency,file_path,function_name,line_number,call_body
Re,all.R,bkde,78,"Re(fft(kappa*gcounts, TRUE))"
Re,all.R,bkde2D,156,"Re(fft(rp*sp, inverse = TRUE)/(P1*P2))"
Re,all.R,bkfe,232,"Re(fft(kappam*Gcounts, TRUE))"
abs,all.R,dpill,531,abs(th24Q)
any,all.R,locpoly,610,any(bandwidth <= 0)
as.double,all.R,blkest,265,as.double(x)
as.double,all.R,blkest,265,as.double(y)
as.double,all.R,blkest,267,as.double(xj)
as.double,all.R,blkest,267,as.double(yj)
as.double,all.R,blkest,267,as.double(coef)
as.double,all.R,blkest,267,as.double(Xmat)
as.double,all.R,blkest,267,as.double(wk)
as.double,all.R,blkest,268,as.double(qraux)
as.double,all.R,blkest,268,as.double(sigsqe)
as.double,all.R,blkest,268,as.double(th22e)
as.double,all.R,blkest,269,as.double(th24e)
as.double,all.R,cpblock,300,as.double(X)
as.double,all.R,cpblock,300,as.double(Y)
as.double,all.R,cpblock,301,as.double(RSS)
as.double,all.R,cpblock,301,as.double(Xj)
as.double,all.R,cpblock,302,as.double(Yj)
as.double,all.R,cpblock,302,as.double(coef)
as.double,all.R,cpblock,302,as.double(Xmat)
as.double,all.R,cpblock,303,as.double(qraux)
as.double,all.R,cpblock,303,as.double(Cpvals)
as.double,all.R,linbin,572,as.double(X)
as.double,all.R,linbin,573,as.double(a)
as.double,all.R,linbin,573,as.double(b)
as.double,all.R,linbin2D,592,as.double(X)
as.double,all.R,linbin2D,593,as.double(a1)
as.double,all.R,linbin2D,593,as.double(a2)
as.double,all.R,linbin2D,593,as.double(b1)
as.double,all.R,linbin2D,593,as.double(b2)
as.double,all.R,locpoly,701,as.double(xcounts)
as.double,all.R,locpoly,701,as.double(ycounts)
as.double,all.R,locpoly,702,as.double(delta)
as.double,all.R,locpoly,702,as.double(hdisc)
as.double,all.R,locpoly,705,as.double(fkap)
as.double,all.R,locpoly,705,as.double(ss)
as.double,all.R,locpoly,706,as.double(tt)
as.double,all.R,locpoly,706,as.double(Smat)
as.double,all.R,locpoly,706,as.double(Tvec)
as.double,all.R,locpoly,707,as.double(curvest)
as.double,all.R,rlbin,723,as.double(X)
as.double,all.R,rlbin,723,as.double(Y)
as.double,all.R,rlbin,724,as.double(a)
as.double,all.R,rlbin,724,as.double(b)
as.double,all.R,sdiag,799,as.double(xcounts)
as.double,all.R,sdiag,799,as.double(delta)
as.double,all.R,sdiag,800,as.double(hdisc)
as.double,all.R,sdiag,803,as.double(ss)
as.double,all.R,sdiag,803,as.double(Smat)
as.double,all.R,sdiag,803,as.double(work)
as.double,all.R,sdiag,804,as.double(det)
as.double,all.R,sdiag,804,as.double(Sdg)
as.double,all.R,sstdiag,878,as.double(xcounts)
as.double,all.R,sstdiag,878,as.double(delta)
as.double,all.R,sstdiag,879,as.double(hdisc)
as.double,all.R,sstdiag,882,as.double(ss)
as.double,all.R,sstdiag,882,as.double(uu)
